N° de la ligne,N° de station,Nom de station
23,1,RABATTEMENT SLIMEN KAHIA
23,2,ABDELMOULA-ALLER
23,3,PÉPINIÉRE-ALLER
23,4,GARDE NATIONAL AGBA-ALLER
23,5,AGBA SUPERIEUR-ALLER
23,6,CANAL AGBA-ALLER
23,7,BEN MAHMOUD-ALLER
23,8,CITE ELWAHA-ALLER
23,9,SONEDE AGBA-ALLER
23,10,GHDIR ELGOLLAH-ALLER
23,11,CITE JABRI-ALLER
23,12,CROISEMENT BEN YEDDER-ALLER
23,13,CITE ENNACR-ALLER
23,14,MARCHÉ MORNAGIAA-ALLER
23,15,GUITOUNI-ALLER
23,16,CROISEMENT SIDI ALI HATTAB-ALLER
23,17,ZONE INDUSTRIELLE-ALLER
23,18,AEROPORT BORJ EL AMRI-ALLER
23,19,BORJ KHALSI-ALLER
23,20,BOUHALLEB-ALLER
23,21,CIMETIERE ANGLAIS-ALLER
23,22,RELAIS BORJ EL AMRI-ALLER
23,23,MOSQUÉE BORJ EL AMRI-ALLER
23,24,CAFE MEDINA-ALLER
23,25,CITE EL INTILAKA 
23 RETOUR,1,CITE EL INTILAKA
23 RETOUR,2,CAFE MEDINA 23/
23 RETOUR,3,MOSQUÉE BORJ EL AMRI-RETOUR
23 RETOUR,4,RELAIS BORJ EL AMRI-RETOUR
23 RETOUR,5,CIMETIERE ANGLAIS-RETOUR
23 RETOUR,6,BOUHALLEB-RETOUR
23 RETOUR,7,BORJ KHALSI-RETOUR
23 RETOUR,8,AEROPORT BORJ EL AMRI-RETOUR
23 RETOUR,9,ZONE INDUSTRIELLE-RETOUR
23 RETOUR,10,CROISEMENT SIDI ALI HATTAB-RETOUR
23 RETOUR,11,GUITOUNI-RETOUR
23 RETOUR,12,MARCHÉ MORNAGIAA-RETOUR
23 RETOUR,13,CITE ENNACER-RETOUR
23 RETOUR,14,CROISEMENT BEN YEDDER-RETOUR
23 RETOUR,15,CITE JABRI-RETOUR
23 RETOUR,16,GHDIR ELGOLLAH-RETOUR
23 RETOUR,17,SONEDE AGBA-RETOUR
23 RETOUR,18,CITE ELWAHA-RETOUR
23 RETOUR,19,BEN MAHMOUD-RETOUR
23 RETOUR,20,CANAL AGBA-RETOUR
23 RETOUR,21,AGBA SUPERIEUR-RETOUR
23 RETOUR,22,GARDE NATIONAL AGBA-RETOUR
23 RETOUR,23,PÉPINIÉRE-RETOUR
23 RETOUR,24,ABDELMOULA-RETOUR
23 RETOUR,25,OUED GUERIANA L23
23 RETOUR,26,RABATTEMENT SLIMEN KAHIA
23E,1,RABATTEMENT SLIMEN KAHIA
23E,2,ABDELMOULA-ALLER
23E,3,PÉPINIÉRE-ALLER
23E,4,GARDE NATIONAL AGBA-ALLER
23E,5,AGBA SUPERIEUR-ALLER
23E,6,CANAL AGBA-ALLER
23E,7,BEN MAHMOUD-ALLER
23E,8,CITE ELWAHA-ALLER
23E,9,SONEDE AGBA-ALLER
23E,10,GHDIR ELGOLLAH-ALLER
23E,11,CITE JABRI-ALLER
23E,12,CROISEMENT BEN YEDDER-ALLER
23E,13,BIR ED DROUJ-ALLER
23E,14,HUILERIE LOUKIL-ALLER
23E,15,LYCEE CHEBI-ALLER
23E,16,MOSQUÉE MORNAGIAA-ALLER
23E,17,MORNAGIAA-ALLER
23E,18,20 MARS-ALLER
23E,19,LYCEE 20 MARS-ALLER
23E,20,FIRMA-ALLER
23E,21,GUITOUNI-ALLER
23E,22,CROISEMENT SIDI ALI HATTAB-ALLER
23E,23,ZONE INDUSTRIELLE-ALLER
23E,24,AEROPORT BORJ EL AMRI-ALLER
23E,25,BORJ KHALSI-ALLER
23E,26,BOUHALLEB-ALLER
23E,27,CIMETIERE ANGLAIS-ALLER
23E,28,RELAIS BORJ EL AMRI-ALLER
23E,29,MOSQUÉE BORJ EL AMRI-ALLER
23E,30,CAFE MEDINA-ALLER
23E,31,KIOSQUE AGIL-ALLER
23E,32,KM30-ALLER
23E,33,MESSAADINE-ALLER
23E,34,FURNA-ALLER
23E,35,ENTREE BORJ ENNOUR-ALLER
23E,36,EPICIER JILANI-ALLER
23E,37,ENTREE GRIAAT-ALLER
23E,38,GRIAAT
23E RETOUR,1,GRIAAT
23E RETOUR,2,ENTREE GRIAAT-RETOUR
23E RETOUR,3,EPICIER JILANI-RETOUR
23E RETOUR,4,ENTREE BORJ ENNOUR-RETOUR
23E RETOUR,5,FURNA-RETOUR
23E RETOUR,6,MESSAADINE-RETOUR
23E RETOUR,7,KM30-RETOUR
23E RETOUR,8,KIOSQUE AGIL -RETOUR
23E RETOUR,9,CAFE MEDINA 23/
23E RETOUR,10,MOSQUÉE BORJ EL AMRI-RETOUR
23E RETOUR,11,RELAIS BORJ EL AMRI-RETOUR
23E RETOUR,12,CIMETIERE ANGLAIS-RETOUR
23E RETOUR,13,BOUHALLEB-RETOUR
23E RETOUR,14,BORJ KHALSI-RETOUR
23E RETOUR,15,AEROPORT BORJ EL AMRI-RETOUR
23E RETOUR,16,ZONE INDUSTRIELLE-RETOUR
23E RETOUR,17,CROISEMENT SIDI ALI HATTAB-RETOUR
23E RETOUR,18,GUITOUNI-RETOUR
23E RETOUR,19,FIRMA-RETOUR
23E RETOUR,20,LYCEE 20 MARS-RETOUR
23E RETOUR,21,20 MARS-RETOUR
23E RETOUR,22,MORNAGIAA-RETOUR
23E RETOUR,23,MOSQUÉE MORNAGIAA-RETOUR
23E RETOUR,24,LYCEE CHEBI-RETOUR
23E RETOUR,25,HUILERIE LOUKIL-RETOUR
23E RETOUR,26,BIR ED DROUJ-RETOUR
23E RETOUR,27,CROISEMENT BEN YEDDER-RETOUR
23E RETOUR,28,CITE JABRI-RETOUR
23E RETOUR,29,GHDIR ELGOLLAH-RETOUR
23E RETOUR,30,SONEDE AGBA-RETOUR
23E RETOUR,31,CITE ELWAHA-RETOUR
23E RETOUR,32,BEN MAHMOUD-RETOUR
23E RETOUR,33,CANAL AGBA-RETOUR
23E RETOUR,34,AGBA SUPERIEUR-RETOUR
23E RETOUR,35,GARDE NATIONAL AGBA-RETOUR
23E RETOUR,36,PÉPINIÉRE-RETOUR
23E RETOUR,37,ABDELMOULA-RETOUR
23E RETOUR,38,OUED GUERIANA L23
23E RETOUR,39,RABATTEMENT SLIMEN KAHIA
23F,1,RABATTEMENT SLIMEN KAHIA
23F,2,ABDELMOULA-ALLER
23F,3,PÉPINIÉRE-ALLER
23F,4,GARDE NATIONAL AGBA-ALLER
23F,5,AGBA SUPERIEUR-ALLER
23F,6,CANAL AGBA-ALLER
23F,7,BEN MAHMOUD-ALLER
23F,8,CITE ELWAHA-ALLER
23F,9,SONEDE AGBA-ALLER
23F,10,GHDIR ELGOLLAH-ALLER
23F,11,CITE JABRI-ALLER
23F,12,CROISEMENT BEN YEDDER-ALLER
23F,13,BIR ED DROUJ-ALLER
23F,14,HUILERIE LOUKIL-ALLER
23F,15,LYCEE CHEBI-ALLER
23F,16,MOSQUÉE MORNAGIAA-ALLER
23F,17,MORNAGIAA-ALLER
23F,18,20 MARS-ALLER
23F,19,LYCEE 20 MARS-ALLER
23F,20,FIRMA-ALLER
23F,21,GUITOUNI-ALLER
23F,22,CROISEMENT SIDI ALI HATTAB-ALLER
23F,23,ZONE INDUSTRIELLE-ALLER
23F,24,AEROPORT BORJ EL AMRI-ALLER
23F,25,BORJ KHALSI-ALLER
23F,26,BOUHALLEB-ALLER
23F,27,CIMETIERE ANGLAIS-ALLER
23F,28,RELAIS BORJ EL AMRI-ALLER
23F,29,MOSQUÉE BORJ EL AMRI-ALLER
23F,30,CAFE MEDINA-ALLER
23F,31,KIOSQUE AGIL-ALLER
23F,32,KM30-ALLER
23F,33,MESSAADINE-ALLER
23F,34,FURNA-ALLER
23F,35,ENTREE BORJ ENNOUR-ALLER
23F,36,FRINECH
23F RETOUR,1,FRINECH
23F RETOUR,2,ENTREE BORJ ENNOUR-RETOUR
23F RETOUR,3,FURNA-RETOUR
23F RETOUR,4,MESSAADINE-RETOUR
23F RETOUR,5,KM30-RETOUR
23F RETOUR,6,KIOSQUE AGIL -RETOUR
23F RETOUR,7,CAFE MEDINA 23/
23F RETOUR,8,MOSQUÉE BORJ EL AMRI-RETOUR
23F RETOUR,9,RELAIS BORJ EL AMRI-RETOUR
23F RETOUR,10,CIMETIERE ANGLAIS-RETOUR
23F RETOUR,11,BOUHALLEB-RETOUR
23F RETOUR,12,BORJ KHALSI-RETOUR
23F RETOUR,13,AEROPORT BORJ EL AMRI-RETOUR
23F RETOUR,14,ZONE INDUSTRIELLE-RETOUR
23F RETOUR,15,CROISEMENT SIDI ALI HATTAB-RETOUR
23F RETOUR,16,GUITOUNI-RETOUR
23F RETOUR,17,FIRMA-RETOUR
23F RETOUR,18,LYCEE 20 MARS-RETOUR
23F RETOUR,19,20 MARS-RETOUR
23F RETOUR,20,MORNAGIAA-RETOUR
23F RETOUR,21,MOSQUÉE MORNAGIAA-RETOUR
23F RETOUR,22,LYCEE CHEBI-RETOUR
23F RETOUR,23,HUILERIE LOUKIL-RETOUR
23F RETOUR,24,BIR ED DROUJ-RETOUR
23F RETOUR,25,CROISEMENT BEN YEDDER-RETOUR
23F RETOUR,26,CITE JABRI-RETOUR
23F RETOUR,27,GHDIR ELGOLLAH-RETOUR
23F RETOUR,28,SONEDE AGBA-RETOUR
23F RETOUR,29,CITE ELWAHA-RETOUR
23F RETOUR,30,BEN MAHMOUD-RETOUR
23F RETOUR,31,CANAL AGBA-RETOUR
23F RETOUR,32,AGBA SUPERIEUR-RETOUR
